x1,x2,x3,x4,x5,y
0.3681106978803079,-0.7664528816835736,-1.0,1.0,-1.0,0
0.8554743336586441,-0.24501288654914188,1.0,1.0,-1.0,0
-0.5270245741032228,0.6263832384187416,-1.0,1.0,1.0,0
0.616431155162205,-0.47536926312151795,1.0,-1.0,1.0,0
0.016539211943998877,-0.975422482308501,1.0,1.0,-1.0,1
0.756887212241371,0.6802081593123992,1.0,1.0,-1.0,1
0.6662230492759618,-0.9570665843498022,1.0,1.0,-1.0,0
-0.2587788165461056,0.0023969219685424648,1.0,-1.0,-1.0,1
0.32010187712778815,0.2284375708792008,1.0,1.0,-1.0,1
0.820826886001278,-0.8783497236796599,1.0,-1.0,1.0,0
-0.1572771431153056,-0.4879741683575818,1.0,-1.0,1.0,1
0.1579600182887959,0.4211919509611859,-1.0,1.0,1.0,1
0.8198185030222673,-0.360830526716032,-1.0,1.0,-1.0,0
0.5066785041575732,-0.9310792250639714,1.0,-1.0,-1.0,0
-0.14191350055966445,0.7118520649488622,-1.0,1.0,1.0,0
-0.30654562686249986,0.2652009268635258,1.0,-1.0,1.0,0
0.7120016404365144,0.7058699358407632,-1.0,1.0,-1.0,1
0.6187131556037824,-0.09657269714120542,1.0,1.0,-1.0,0
0.10361795045792577,-0.2527156277182655,1.0,1.0,1.0,0
0.606436556085046,0.9849537547644873,1.0,1.0,1.0,1
0.06495173242977281,-0.4286638722208579,-1.0,1.0,-1.0,0
0.032913010630942985,-0.9623370067341794,-1.0,-1.0,-1.0,0
0.20046607501650548,-0.6303350914612784,-1.0,1.0,-1.0,0
-0.10528493689703389,0.015312383091070858,-1.0,1.0,1.0,1
0.5562023934685776,0.17132955792478843,-1.0,-1.0,-1.0,1
0.6060620873129474,-0.8519770460208825,1.0,-1.0,1.0,0
-0.8385264138954442,-0.0797658115043387,-1.0,-1.0,-1.0,1
-0.41420447805018046,-0.1144069815745018,1.0,1.0,1.0,1
0.28176712247192137,-0.02765478433480839,1.0,-1.0,1.0,0
0.4341366115597476,0.8794582361892878,1.0,1.0,-1.0,1
-0.6688226434421221,-0.05543600818512029,-1.0,1.0,1.0,1
0.24684319482964656,-0.16463247162642503,1.0,-1.0,1.0,0
0.7055790953848007,-0.9839740054913924,1.0,1.0,-1.0,0
0.9655669019751627,-0.7469033801145208,1.0,1.0,1.0,0
0.17244970691302175,0.5202767652316262,1.0,1.0,1.0,1
-0.5661472787707416,0.3570477306276605,-1.0,-1.0,1.0,0
0.5247850329954484,0.40051191494183813,-1.0,1.0,-1.0,1
-0.6443488297329416,0.9570682923501768,-1.0,-1.0,1.0,0
0.18424264460655038,-0.751049193978929,1.0,-1.0,-1.0,0
0.47848774378495307,0.032257026182389126,-1.0,1.0,1.0,1
0.3630535239469057,-1.0,1.0,1.0,1.0,0
0.8208092869097743,0.12214522139340422,1.0,-1.0,-1.0,1
0.13518238722761167,-0.332525642466167,-1.0,1.0,-1.0,0
0.5633697565913265,0.6767648857223036,-1.0,-1.0,1.0,1
0.2183163237019079,0.8376739365494987,1.0,-1.0,-1.0,1
0.067861163771328,-0.31044544493654336,-1.0,1.0,-1.0,0
-0.6948471962086245,-0.44103057777783927,-1.0,1.0,-1.0,1
0.5921883390771754,-0.06467624176064202,1.0,1.0,1.0,0
-0.26686247288586085,0.40383692226125767,-1.0,-1.0,1.0,0
-0.7138696978568464,-0.3909801471501544,-1.0,1.0,-1.0,1
0.23400292241707787,0.4301333864266288,1.0,1.0,-1.0,1
0.3909851302617757,0.22552785929681463,-1.0,1.0,1.0,1
0.3772965257933951,0.8288602771050793,1.0,1.0,1.0,1
-0.5635948017742904,-0.35990902281601345,1.0,-1.0,1.0,1
0.7864003475976935,-0.7999962643403034,1.0,1.0,1.0,0
0.6251672927536638,-0.9131392952074039,1.0,1.0,-1.0,0
-0.34529176688738916,0.5475315622107213,1.0,1.0,1.0,0
-0.15828675294437866,-0.14400487829051944,-1.0,-1.0,1.0,1
0.509926287574958,-0.9313045097698399,-1.0,1.0,-1.0,0
0.0416615167340173,0.30807594399776606,1.0,1.0,1.0,1
-0.19303340303624483,-0.4630225885250969,1.0,-1.0,1.0,1
-0.5034113131032296,0.3384164384035353,1.0,-1.0,-1.0,0
-0.9111784107936215,0.3072381983070065,-1.0,1.0,-1.0,0
-0.3658256948387566,-0.2346192965751701,-1.0,1.0,-1.0,1
0.5184325061457971,0.5038707873790491,-1.0,1.0,-1.0,1
0.19406082343960995,0.12103672061109516,-1.0,1.0,-1.0,1
0.5919204107494869,0.943426849135363,1.0,1.0,1.0,1
0.4834969767338637,-0.6639712248105344,1.0,1.0,1.0,0
-0.962908550034904,0.9481424548233965,1.0,1.0,-1.0,0
-0.9170890138115728,0.7754021887525686,-1.0,-1.0,-1.0,0
0.5811057543345577,-0.29552620838630506,-1.0,1.0,1.0,0
0.5237428540131472,-0.604810442011252,1.0,1.0,-1.0,0
0.7677901859350631,-0.3996787447133593,-1.0,-1.0,-1.0,0
0.5227066662375608,0.6764048965621943,1.0,-1.0,-1.0,1
-0.09331527942607332,0.983764156830657,1.0,1.0,-1.0,0
0.385718494944852,0.5756337550976764,1.0,-1.0,-1.0,1
-0.3620334633436779,-0.04455594369682858,-1.0,-1.0,-1.0,1
0.8327959932332878,-0.5789997830349133,1.0,1.0,1.0,0
-0.9662654384706634,-0.2608198993734131,-1.0,-1.0,-1.0,1
-0.6233475300739681,0.2627551083208739,1.0,1.0,-1.0,0
0.41421059903865487,-0.5428976835543273,-1.0,-1.0,-1.0,0
-0.24824351719743087,-0.6404185404173548,1.0,-1.0,-1.0,1
-0.6085456426979144,0.17968371329025845,-1.0,1.0,-1.0,0
0.4763836966256849,0.1488062704740205,1.0,-1.0,1.0,1
0.6657927322533084,0.6783447505451377,1.0,-1.0,1.0,1
-0.054152862193305173,-0.41783706160874934,1.0,-1.0,1.0,1
-0.6505216937473652,-0.7848166615652369,1.0,1.0,1.0,1
0.11550669365019584,-0.17596341168970786,1.0,-1.0,1.0,0
0.974201199716586,0.09812667954632825,1.0,1.0,1.0,1
-0.8407511114828695,0.8468701285299312,-1.0,1.0,1.0,0
-0.9682501198924277,-0.822367051037179,-1.0,1.0,-1.0,1
0.28893662778392715,-0.011077761398381014,-1.0,1.0,1.0,1
